400,1,386,97,93
400,107,52,38,94
400,414,23,103,142
400,611,1,14,16
400,184,1,74,62
401,1,362,110,117
401,115,91,25,49
401,417,24,102,143
401,186,1,48,55
402,1,341,133,138
402,114,86,27,56
402,108,52,12,19
402,418,25,104,144
402,186,1,56,59
403,1,321,144,158
403,116,87,23,53
403,109,51,13,17
403,420,25,105,145
403,187,1,47,60
404,1,303,145,176
404,115,84,25,57
404,108,50,13,19
404,422,26,106,146
404,185,1,47,59
405,1,288,153,191
405,116,86,23,55
405,109,50,11,20
405,198,44,21,15
405,423,28,107,145
405,184,1,49,43
406,1,274,164,205
406,118,108,22,33
406,116,83,14,24
406,426,27,107,148
406,186,1,46,43
407,1,262,171,217
407,117,87,24,53
407,202,45,17,14
407,427,27,110,151
407,186,1,45,43
408,1,251,177,228
408,117,90,24,48
408,201,44,18,14
408,429,27,112,153
408,186,1,45,43
409,1,240,182,239
409,116,96,24,41
409,201,42,18,17
409,431,27,113,154
409,186,1,43,43
410,1,230,189,249
410,120,109,22,28
410,202,44,17,14
410,433,29,114,155
410,185,1,45,42
411,1,220,193,259
411,117,94,24,43
411,435,29,114,156
411,186,1,43,56
412,1,211,198,268
412,119,110,24,26
412,117,89,13,19
412,437,30,115,158
412,186,1,42,56
413,1,203,209,276
413,116,74,26,61
413,439,31,119,160
413,185,1,42,55
414,1,195,211,284
414,116,88,28,47
414,441,32,119,160
414,186,1,41,55
415,1,188,213,291
415,118,109,27,25
415,115,73,20,33
415,444,34,120,161
415,186,1,41,55
416,1,180,221,299
416,116,69,29,64
416,446,33,122,165
416,185,1,41,54
417,1,174,226,305
417,118,106,27,26
417,117,82,18,22
417,448,35,122,165
417,186,1,40,56
418,1,168,223,311
418,116,85,31,48
418,122,59,13,22
418,451,35,121,165
418,186,1,38,55
419,1,161,230,318
419,117,83,27,48
419,113,49,22,33
419,453,36,122,166
419,185,1,41,55
420,1,156,236,323
420,118,86,26,47
420,117,49,18,32
420,455,37,124,166
420,186,1,39,54
421,1,150,241,325
421,118,85,29,46
421,458,38,131,169
421,185,1,40,55
422,1,145,244,325
422,121,92,21,39
422,460,39,131,169
422,186,1,38,55
423,1,140,246,320
423,125,113,20,17
423,121,89,12,21
423,462,41,131,171
423,186,1,37,55
424,1,136,250,307
424,122,90,24,40
424,464,42,142,174
424,186,1,37,53
425,1,91,251,337
425,467,44,145,175
425,186,1,37,53
426,5,92,248,331
426,469,46,144,172
426,186,1,37,51
427,11,88,244,314
427,471,48,144,176
427,185,1,37,51
428,15,88,241,304
428,474,45,143,177
428,186,1,36,51
429,21,88,237,301
429,476,46,139,183
429,186,1,36,49
430,33,87,226,285
430,478,46,147,191
430,116,46,15,17
430,186,1,36,50
431,481,47,148,191
431,40,47,221,313
431,185,1,37,50
432,49,86,214,264
432,484,49,147,192
432,185,1,37,50
433,58,67,207,276
433,486,53,153,189
433,186,1,50,49
434,63,82,203,250
434,489,52,144,191
434,203,39,18,13
434,187,1,48,36
435,66,73,201,250
435,491,54,148,192
435,185,1,49,50
436,71,73,198,241
436,494,52,145,197
436,186,1,48,49
437,76,67,194,239
437,496,52,143,198
437,192,1,39,48
438,81,67,191,230
438,499,52,140,199
438,190,1,41,36
439,89,66,185,222
439,501,53,138,203
439,189,1,41,48
440,504,55,135,202
440,95,46,179,233
440,190,1,39,37
441,507,56,132,204
441,101,46,175,224
441,191,1,38,47
442,509,59,130,206
442,104,44,173,219
442,190,1,38,32
443,511,58,128,211
443,109,45,169,207
443,189,1,37,36
444,513,61,126,211
444,112,49,167,193
444,190,1,35,34
445,516,65,123,208
445,116,46,164,192
445,190,1,34,30
446,519,65,120,211
446,120,50,162,180
446,189,1,34,32
447,521,66,118,214
447,124,51,158,174
447,190,1,32,36
448,524,66,115,217
448,127,63,157,157
448,190,1,33,33
449,526,67,113,219
449,128,60,156,155
449,190,1,33,35
450,529,68,110,219
450,131,59,156,151
450,191,1,33,36
451,532,68,107,225
451,131,58,155,147
451,192,1,31,34
452,534,68,105,229
