400,516,46,21,13
400,609,45,30,35
400,298,42,210,422
400,580,39,30,17
400,576,1,63,35
400,410,1,57,32
400,85,1,179,239
401,193,198,66,30
401,294,44,208,427
401,84,1,128,238
402,290,44,215,434
402,81,1,177,239
403,285,46,221,433
403,79,1,176,240
404,281,46,228,433
404,76,1,176,244
405,272,48,242,431
405,68,1,178,250
406,268,52,248,427
406,62,1,182,250
407,264,53,256,426
407,65,1,177,252
408,259,54,268,425
408,64,1,178,253
409,254,55,273,424
409,63,1,177,254
410,249,56,281,423
410,61,1,178,256
411,242,55,294,424
411,57,1,179,257
412,236,58,304,421
412,53,1,180,259
413,407,65,137,275
413,219,62,265,417
413,42,1,188,264
414,410,68,118,276
414,221,64,261,415
414,37,1,191,265
415,415,74,149,280
415,214,66,262,413
415,32,1,192,267
416,562,120,14,15
416,419,77,152,283
416,207,67,265,412
416,25,1,198,269
417,420,79,160,282
417,198,68,270,411
417,19,1,197,271
418,424,78,163,282
418,190,72,271,407
418,15,1,198,275
419,428,78,165,288
419,10,1,448,478
420,149,109,17,19
420,433,80,166,290
420,612,1,16,14
420,5,1,437,478
421,151,104,16,26
421,438,81,176,293
421,612,1,17,15
421,1,1,434,478
422,150,109,16,20
422,442,87,180,289
422,612,1,19,14
422,1,1,368,478
423,152,113,13,16
423,456,92,183,291
423,614,1,20,18
423,1,1,366,478
424,466,94,173,292
424,615,1,21,17
424,1,1,370,478
425,153,111,14,17
425,473,97,166,295
425,616,1,23,19
425,1,1,327,478
426,500,189,14,15
426,151,113,15,16
426,483,99,156,297
426,615,1,24,19
426,1,1,320,478
427,152,113,14,16
427,490,102,149,299
427,615,1,24,18
427,1,1,307,478
428,501,105,138,294
428,617,1,22,18
428,1,1,297,478
429,150,110,18,19
429,513,108,126,292
429,618,1,21,19
429,1,1,283,478
430,152,114,15,14
430,524,109,115,272
430,616,1,23,18
430,1,1,267,478
431,542,149,97,237
431,620,1,19,20
431,1,1,254,478
432,551,169,88,216
432,1,2,221,477
433,559,209,80,182
433,75,44,14,21
433,1,3,209,476
434,568,248,71,142
434,150,109,20,23
434,1,5,189,474
435,584,250,55,141
435,149,113,17,19
435,1,52,173,427
436,596,255,43,136
436,151,115,15,15
436,1,51,156,428
437,605,277,34,112
437,153,110,14,20
437,1,56,137,423
438,1,76,117,403
438,7,57,20,16
439,1,78,109,401
439,6,55,15,14
440,1,269,101,210
440,1,120,15,126
440,151,113,16,17
440,1,83,22,28
440,630,2,9,28
441,1,296,85,183
441,151,111,18,20
441,627,1,12,32
442,1,317,75,65
442,149,110,17,22
442,1,86,14,19
442,625,1,14,32
443,1,324,65,69
443,627,1,12,31
444,1,333,56,69
444,149,113,18,19
444,624,1,15,32
445,1,341,44,68
445,626,1,13,32
446,150,111,16,21
446,625,1,14,30
447,626,1,13,30
448,150,114,16,17
448,625,1,14,31
449,149,114,19,19
449,613,1,26,33
450,624,1,15,33
451,151,114,15,17
451,611,1,28,34
452,611,1,28,35
453,150,117,18,15
453,611,1,28,34
454,611,1,28,35
455,297,342,77,53
455,613,1,26,36
456,614,1,25,35
457,613,1,26,34
458,613,1,24,32
459,612,1,25,35
460,611,1,25,35
461,611,1,27,36
462,609,1,30,35
463,609,1,30,36
464,609,1,30,37
465,608,1,31,38
466,608,1,31,38
467,606,1,25,35
468,606,1,24,34
469,606,1,21,36
470,606,1,20,36
471,604,1,22,36
472,603,1,23,37
473,604,1,23,33
474,603,1,24,34
475,603,1,22,35
475,1,1,12,17
476,602,1,23,35
476,1,1,14,49
477,600,1,24,37
477,1,1,22,71
478,1,76,18,14
478,600,1,26,36
478,1,1,26,70
479,600,1,23,35
479,1,1,27,88
480,600,1,23,36
480,1,1,30,87
481,600,1,22,35
481,1,1,34,87
482,600,1,24,34
482,1,1,37,85
483,600,1,22,32
483,1,1,37,84
484,600,1,20,33
484,1,1,42,83
485,599,1,23,34
485,1,1,47,80
486,599,1,24,34
486,1,1,48,79
487,599,1,23,35
487,2,1,51,77
